problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P2,017,1,ok,130072.0,0.26936079197912477,0.4227552500087768,643862.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-017-k1
P2,017,2,ok,67524.0,0.2667751670232974,0.42694570901221596,731414.0,87552.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-017-k2
P2,017,3,ok,42600.0,0.31599437500699423,0.39386054198257625,815510.0,171648.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-017-k3
P2,017,4,ok,31517.0,0.281769458000781,0.3944894589949399,893846.0,249984.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-017-k4
P2,017,5,ok,28510.0,0.28270054201129824,0.42179770799702965,973334.0,329472.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-017-k5
P2,018,1,ok,1020703.0,0.3665360419836361,0.6475103749835398,2407952.0,815104.0,815104.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-018-k1
P2,018,2,ok,492735.0,0.43597387499175966,0.6936398749821819,3113488.0,1520640.0,221184.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-018-k2
P2,018,3,ok,339568.0,0.3427796670002863,0.5866578749846667,4101648.0,2508800.0,40960.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-018-k3
P2,018,4,ok,254215.0,0.33185616601258516,0.6175346660020296,5360144.0,3767296.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-018-k4
P2,018,5,ok,196504.0,0.32726445799926296,0.6446223340171855,6299152.0,4706304.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-018-k5
P2,019,1,ok,64148.0,0.26510954200057313,0.2631167500221636,186984.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-019-k1
P2,019,2,ok,36156.0,0.2762069170130417,0.3072358749923296,214152.0,27168.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-019-k2
P2,019,3,ok,25044.0,0.2708886250038631,0.253123875008896,211560.0,24576.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-019-k3
P2,019,4,ok,24243.0,0.265608624991728,0.3088266249978915,238728.0,51744.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-019-k4
P2,019,5,ok,24346.0,0.2504702919977717,0.2516580410010647,263304.0,76320.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-019-k5
P2,020,1,ok,532746.0,0.37188229098683223,1.3565140829887241,2359296.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-020-k1
P2,020,2,ok,266828.0,0.40130562501144595,1.0930583339941222,2359296.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-020-k2
P2,020,3,ok,180314.0,0.386904584011063,1.0872453339979984,2359296.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-020-k3
P2,020,4,ok,146116.0,0.4423232090193778,1.1341973750095349,2359296.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-020-k4
P2,020,5,ok,110112.0,0.47028904198668897,1.1528978749993257,2359296.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-020-k5
P2,021,1,ok,6560801.0,0.32935070898383856,1.0562140420079231,10219520.0,6881280.0,6881280.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-021-k1
P2,021,2,ok,3253018.0,0.3432448329986073,0.8977302910061553,11264000.0,7925760.0,6389760.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-021-k2
P2,021,3,ok,2170286.0,0.33429820800665766,0.9622125420137309,13340672.0,10002432.0,5292032.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-021-k3
