case_id,cores,baseline_cycles,forest_m3,forest_m2,final_m3,final_m2,forest_b_over_m,final_b_over_m,forest_g,final_g,solver_wall_seconds,fifth_core_status,selected_strategy,plan_changed_vs_forest,makespan_delta_vs_forest,scheduled_copy_bytes,extra_ddr_bytes,cache_hit_rate_bytes
005,5,95618,30642,37327,30642,37327,3.1204882187846747,3.1204882187846747,1.2181646106651003,1.2181646106651003,1.9763647920335643,unsupported,attention_rows_ffn_gap_placement_word,False,0,2136798,1803384,0.4589403333755121
006,1,82837,69415,69415,69415,69415,1.1933587841244688,1.1933587841244688,1.0,1.0,0.24577983299968764,skip,dag_join_gap_list,False,0,581274,37926,0.0054526362094777245
006,2,82837,37307,37863,37307,37863,2.220414399442464,2.220414399442464,1.0149033693408744,1.0149033693408744,0.2810432920232415,skip,dag_join_gap_list,False,0,1067158,523810,0.2164824454535386
006,3,82837,27285,28486,27285,28486,3.035990470954737,3.035990470954737,1.0440168590800807,1.0440168590800807,0.30224879196612164,skip,dag_join_gap_list,False,0,1295944,752596,0.31371213234898654
006,4,82837,24049,26888,24049,26888,3.444509127198636,3.444509127198636,1.118050646596532,1.118050646596532,0.32468154199887067,skip,dag_join_gap_list,False,0,1338648,795300,0.29410559531543584
006,5,82837,21118,25613,21118,25613,3.9225778956340562,3.9225778956340562,1.2128515957950563,1.2128515957950563,0.349759082950186,unsupported,dag_join_gap_list,False,0,1343888,800540,0.37811726551164976
007,1,1012562,979262,979262,979262,979262,1.0340051998341608,1.0340051998341608,1.0,1.0,1.4048195000505075,skip,affine_eighth,False,0,1732608,0,0.0
007,2,1012562,490466,490466,490466,490466,2.0644896893974303,2.0644896893974303,1.0,1.0,1.3697273330180906,skip,dag_join_gap_list,False,0,11822592,10089984,0.02582046332046332
007,3,1012562,326994,326994,326994,326994,3.096576695596861,3.096576695596861,1.0,1.0,1.128772584022954,skip,affine_eighth,False,0,1787904,55296,0.0
007,4,1012562,246030,246030,246030,246030,4.115603788155916,4.115603788155916,1.0,1.0,1.4035640410147607,skip,affine_eighth,False,0,1815552,82944,0.0
007,5,1012562,196870,196870,196870,196870,5.14330268705237,5.14330268705237,1.0,1.0,1.2148511669947766,unsupported,affine_eighth,False,0,1843200,110592,0.0
008,1,487605,250437,250437,250437,250437,1.9470166149570551,1.9470166149570551,1.0,1.0,0.26507787499576807,skip,resource_word,False,0,2654424,0,0.0
008,2,487605,125682,125682,125682,125682,3.8796725068028834,3.8796725068028834,1.0,1.0,0.2659078750293702,skip,resource_word,False,0,2654424,0,0.0
008,3,487605,84303,84303,84303,84303,5.783957866268104,5.783957866268104,1.0,1.0,0.2877481670002453,skip,resource_word,False,0,2654424,0,0.0
008,4,487605,63768,63768,63768,63768,7.646546857357922,7.646546857357922,1.0,1.0,0.31665712501853704,skip,resource_word,False,0,2654424,0,0.0
008,5,487605,52291,52291,52291,52291,9.324836013845594,9.324836013845594,1.0,1.0,0.3651720829657279,unsupported,resource_word,False,0,2654424,0,0.0
009,1,153261,121941,121978,121941,121978,1.2568455236548823,1.2568455236548823,1.0003034254270509,1.0003034254270509,0.8988501250278205,skip,attention_rows_ffn,False,0,910950,415618,0.04763690089369525
009,2,153261,61652,61923,61652,61923,2.485904755725686,2.485904755725686,1.0043956400441185,1.0043956400441185,1.7154664589907043,skip,attention_rows_ffn_gap,False,0,1228122,732790,0.20399996675697687
009,3,153261,44457,45770,44457,45770,3.4473986098927054,3.4473986098927054,1.0295341566007603,1.0295341566007603,2.68867991596926,skip,attention_rows_ffn_gap,False,0,1581664,1086332,0.3061879226389714
009,4,153261,35774,36838,35774,36838,4.284144909710963,4.284144909710963,1.0297422709230166,1.0297422709230166,3.0590204169857316,skip,attention_rows_ffn_gap_placement_word,False,0,1806508,1311176,0.3321901508378149
009,5,153261,33957,38730,33957,38730,4.513384574609065,4.513384574609065,1.1405601201519568,1.1405601201519568,3.2171501250122674,unsupported,attention_rows_ffn_gap_placement_word,False,0,2070288,1574956,0.4022804181373033
010,1,86969,57684,57684,57684,57684,1.5076797725539144,1.5076797725539144,1.0,1.0,0.23741654196055606,skip,dag_join_gap_list,False,0,406166,22016,0.0
010,2,86969,29542,29542,29542,29542,2.943910364904204,2.943910364904204,1.0,1.0,0.25251466600457206,skip,dag_join_gap_list,False,0,726562,342412,0.12759630066745348
010,3,86969,22823,23140,22823,23140,3.8105858125575076,3.8105858125575076,1.0138894974367962,1.0138894974367962,0.2889381669810973,skip,dag_join_gap_list,False,0,1057570,673420,0.27243776154337185
010,4,86969,19267,22765,19267,22765,4.513883842840089,4.513883842840089,1.1815539523537655,1.1815539523537655,0.31731483299518004,skip,dag_join_gap_list,False,0,1163862,779712,0.3276655210831024
010,5,86969,20608,24256,20608,24256,4.220157220496894,4.220157220496894,1.1770186335403727,1.1770186335403727,0.33750112500274554,unsupported,dag_join_gap_list,False,0,1398306,1014156,0.3089448306918405
011,1,184697,184697,184697,184697,184697,1.0,1.0,1.0,1.0,0.3395855419803411,skip,affine_eighth,False,0,606208,0,0.0
