case_id,cores,baseline_B,old_M,old_B_over_M,new_M,new_B_over_M,delta_B_over_M,old_extra_ddr_bytes,new_extra_ddr_bytes,delta_extra_ddr_bytes,old_spill_bytes,new_spill_bytes,old_solver_wall_s,new_solver_wall_s,old_E0_wall_s,new_E0_wall_s,old_route,new_route,new_active_cores,new_feed,new_feed_sha256
018,3,1004367,339568,2.957778707063092,339568,2.957778707063092,0.0,2508800,2508800,0,40960,40960,0.2823485830158461,0.3427796670002863,0.563368208007887,0.5866578749846667,component_envelope,component_envelope,3,s01/board-feed-018-k3.json,73eb82c49debcb3ec3cf687db613e477275e40c33a9aec0b238917b557f3400b
018,4,1004367,254215,3.950856558424955,254215,3.950856558424955,0.0,3767296,3767296,0,0,0,0.28150258300593123,0.33185616601258516,0.5616257499787025,0.6175346660020296,component_envelope,component_envelope,4,s01/board-feed-018-k4.json,fb01e4e6b95c5f9bcb590252b3d203dfdfba63c8afd746460d6a5b130dd013ce
018,5,1004367,196504,5.111178398404104,196504,5.111178398404104,0.0,4706304,4706304,0,0,0,0.2848744170041755,0.32726445799926296,0.565384040994104,0.6446223340171855,component_envelope,component_envelope,5,s01/board-feed-018-k5.json,ffa497cbe0d67c8edcec46fd6e42da18535e303de1278aa86a96fc31b1db2710
019,1,81144,64148,1.264949803579223,64148,1.264949803579223,0.0,0,0,0,0,0,0.2842605839832686,0.26510954200057313,0.2788670409936458,0.2631167500221636,component_envelope,component_envelope,1,s01/board-feed-019-k1.json,90a953c8f644bb715537019dd72a4623e7cb463f84878affcf32c3ca07d07a2e
019,2,81144,36156,2.2442748091603053,36156,2.2442748091603053,0.0,27168,27168,0,0,0,0.2842549580091145,0.2762069170130417,0.2845540000125766,0.3072358749923296,component_envelope,component_envelope,2,s01/board-feed-019-k2.json,448dd16cf01554748f414361d49143615d9943b2c1e50868bbec387396357325
019,3,81144,25044,3.2400574988021082,25044,3.2400574988021082,0.0,24576,24576,0,0,0,0.2818092920060735,0.2708886250038631,0.28282833300181665,0.253123875008896,component_envelope,component_envelope,3,s01/board-feed-019-k3.json,843f5676f84045af2f2bffe52dbb81d54293d51526f240a656ab3e735411ed3e
019,4,81144,24243,3.3471105061254796,24243,3.3471105061254796,0.0,51744,51744,0,0,0,0.2860987090098206,0.265608624991728,0.28253579101874493,0.3088266249978915,component_envelope,component_envelope,4,s01/board-feed-019-k4.json,4d5f455b62a2036cce27048ce5db2c04867ff0807e280c2295071818cc53f89f
019,5,81144,24346,3.3329499712478436,24346,3.3329499712478436,0.0,76320,76320,0,0,0,0.28734783400432207,0.2504702919977717,0.2818020420090761,0.2516580410010647,component_envelope,component_envelope,5,s01/board-feed-019-k5.json,2cca92b0d0660726ba3a3190472ea8c739e4ba8be58fa544f92f7c2af25723c0
020,1,532746,532746,1.0,532746,1.0,0.0,0,0,0,0,0,0.28532383299898356,0.37188229098683223,1.4037913329957519,1.3565140829887241,component_envelope,component_envelope,1,s01/board-feed-020-k1.json,f1c00ef75a140c738114db737b1b6881de36c69a61b111e9efcb171085a71574
020,2,532746,266828,1.996589563314195,266828,1.996589563314195,0.0,0,0,0,0,0,0.284705166995991,0.40130562501144595,1.1202131249883678,1.0930583339941222,component_envelope,component_envelope,2,s01/board-feed-020-k2.json,3067c645afd93e6648e0b62e4102663b8f7fc9baf30ba115e55be5af4ff301e2
