case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
044,5,154407.0,41205.0,63413.0,3.747287950491445,2.434942361976251,1.538963717995389,q3-witness-full500-20260925-s59-s03-P3-044-k5-unified-attention-witness-e0,2
046,5,276455.0,83050.0,96034.0,3.3287778446718845,2.8787200366536854,1.15633955448525,q3-witness-full500-20260925-s59-s03-P3-046-k5-unified-attention-witness-e0,2
048,5,222220.0,96956.0,97324.0,2.29196749040802,2.2833011384653323,1.0037955361194768,q3-witness-full500-20260925-s59-s03-P3-048-k5-unified-attention-witness-e0,2
050,5,149690.0,35930.0,40902.0,4.166156415251879,3.6597232409173146,1.1383801836905094,q3-witness-full500-20260925-s59-s03-P3-050-k5-unified-attention-witness-e0,2
053,1,1472686.0,1212974.0,1212974.0,1.214111761670077,1.214111761670077,1.0,q3-witness-full500-20260925-s59-s03-P3-053-k1-unified-attention-witness-e0,2
055,1,118835.0,70981.0,70981.0,1.6741804144771135,1.6741804144771135,1.0,q3-witness-full500-20260925-s59-s03-P3-055-k1-unified-attention-witness-e0,2
057,1,59726.0,51663.0,51663.0,1.1560691403906083,1.1560691403906083,1.0,q3-witness-full500-20260925-s59-s03-P3-057-k1-unified-attention-witness-e0,2
059,1,829473.0,765830.0,765830.0,1.0831032996879202,1.0831032996879202,1.0,q3-witness-full500-20260925-s59-s03-P3-059-k1-unified-attention-witness-e0,2
061,1,77191.0,73915.0,73915.0,1.0443211797334777,1.0443211797334777,1.0,q3-witness-full500-20260925-s59-s03-P3-061-k1-unified-attention-witness-e0,2
063,2,1070397.0,566944.0,566944.0,1.8880118671332617,1.8880118671332617,1.0,q3-witness-full500-20260925-s59-s03-P3-063-k2-unified-attention-witness-e0,2
065,2,53068.0,18257.0,18637.0,2.906720709864709,2.8474539893759725,1.0208139343813332,q3-witness-full500-20260925-s59-s03-P3-065-k2-unified-attention-witness-e0,2
067,2,63834834.0,30302509.0,31746468.0,2.106585761594857,2.010769639003621,1.0476514667481824,q3-witness-full500-20260925-s59-s03-P3-067-k2-unified-attention-witness-e0,2
069,2,25144.0,11398.0,11500.0,2.2060010528162834,2.186434782608696,1.0089489384102475,q3-witness-full500-20260925-s59-s03-P3-069-k2-unified-attention-witness-e0,2
071,2,18919.0,9191.0,9411.0,2.0584267217930585,2.0103070874508555,1.023936459580024,q3-witness-full500-20260925-s59-s03-P3-071-k2-unified-attention-witness-e0,2
073,2,10081626.0,4407019.0,5606731.0,2.287629347638392,1.7981290702193489,1.2722275533643037,q3-witness-full500-20260925-s59-s03-P3-073-k2-unified-attention-witness-e0,2
075,2,1441809.0,597858.0,598374.0,2.411624499463083,2.4095448665884547,1.0008630811998835,q3-witness-full500-20260925-s59-s03-P3-075-k2-unified-attention-witness-e0,2
